a0,b1,c2,d3,e4,f5
dm,MPUI_DEATHMATCH,MENU_KILL_EVERYONE_FIRST_PLAYER,weapon_missing_image,1,1
war,MPUI_TEAM_DEATHMATCH,MENU_KILL_PLAYERS_ON_THE_OPPOSING,weapon_missing_image,1,1
sd,MPUI_SEARCH_AND_DESTROY,MENU_TEAMS_TAKE_TURNS_DEFENDING,weapon_missing_image,1,1
sab,MPUI_SABOTAGE,MENU_1_BOMB_IN_THE_CENTER,weapon_missing_image,1,1
dom,MPUI_DOMINATION,MENU_CAPTURE_AND_HOLD_THE,weapon_missing_image,1,1
koth,MPUI_HEADQUARTERS,MENU_CAPTURE_THE_HEADQUARTERS,weapon_missing_image,1,1
oneflag,MPUI_ONE_FLAG,MENU_TEAMS_TAKE_TURNS_CAPTURING,weapon_missing_image,1,1
arena,MPUI_ARENA,MENU_ARENA,weapon_missing_image,1,1
dd,MPUI_DD,MENU_DD,weapon_missing_image,1,1
vip,MPUI_VIP,MENU_VIP,weapon_missing_image,1,1
ctf,MPUI_CTF,MENU_CTF_DESC,weapon_missing_image,1,1
gtnw,MPUI_GTNW,MENU_GTNW_DESC,weapon_missing_image,1,1
gun,MPUI_GUNGAME,MENU_GUNGAME,weapon_missing_image,0,0
oic,MPUI_OITC,MENU_OITC,weapon_missing_image,0,0
conf,MPUI_CONF,MENU_CONF,weapon_missing_image,1,1
infect,MPUI_INF,MENU_INF,weapon_missing_image,0,0
cranked,MPUI_CRANKED,MENU_CRANKED,weapon_missing_image,1,1
tdef,MPUI_TDEF,MENU_TDEF,weapon_missing_image,1,1
